trsId,version,descriptorUrl,descriptorChecksum,isTruncated,promptTokens,completionTokens,cost,finishReason,aiTopic
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/COVID-19-PE-ARTIC-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/main//pe-artic-variation.ga,dcc2761eb35156d7d09479112daf089439774fc29938f02cb6ee8cda87906758,false,24595,43,0.0062025,end_turn,"Trim ARTIC primer sequences, realign reads, call and filter variants, annotate variants, and apply a strand-bias soft filter to the final annotated variants."
"#workflow/github.com/iwc-workflows/sars-cov-2-variation-reporting/COVID-19-VARIATION-REPORTING",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-variation-reporting/main//variation-reporting.ga,2dce46106d669248d5858b56269c9cbc26057acfdb121f693dd6321d0350105c,false,24503,48,0.00618575,end_turn,"Filters and extracts variants from a VCF dataset, generates tabular lists of variants by Samples and by Variant, and creates an overview plot of variants and their allele-frequencies."
"#workflow/github.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/COVID-19-ARTIC-ONT",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/main//ont-artic-variation.ga,03c9318d50df9a3c2d725da77f9a175ce7eb78e264cc4a40fa17d48a99dd124b,false,20290,57,0.00514375,end_turn,"Perform read filtering, mapping, primer trimming, variant calling, and annotation on ONT-sequenced ARTIC data using tools like fastp, minimap2, ivar, medaka, and SnpEff."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/main//pe-wgs-variation.ga,f2357986dd72af73efb2b8110f0f08f6f715017518498edda61d50d23b2e560f,false,11352,48,0.0028980000000000004,end_turn,"Perform paired-end read mapping with bwa-mem, deduplicate and realign the reads, and then call and annotate variants using lofreq and SnpEff."
"#workflow/github.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/COVID-19-SE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/main//se-wgs-variation.ga,89993f9570eebd53983cdf4f8e4e0f44631f536e855b2e0741f4a5b907858e8d,false,9521,57,0.0024515000000000006,end_turn,"Perform single-end read mapping with Bowtie2, mark duplicates with Picard, realign reads with LoFreq, call variants with LoFreq, and annotate variants with SnpEff."
"#workflow/github.com/iwc-workflows/sars-cov-2-consensus-from-variation/COVID-19-CONSENSUS-CONSTRUCTION",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-consensus-from-variation/main//consensus-from-variation.ga,cb8acce2a1b0d059b117ae3737307be82e81807dad3efcbfe6c8f6a09cbd2798,false,15395,45,0.003905,end_turn,"Build a consensus sequence from FILTER PASS variants with intrasample allele-frequency above a configurable consensus threshold, hard-mask regions with low coverage, and ambiguous sites."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/main//pe-wgs-ivar-analysis.ga,11e9e375b01f1a5b33fb64b184798bc6e46181201a255cb23147a7f021007864,false,13894,49,0.00353475,end_turn,"Find and annotate variants in ampliconic SARS-CoV-2 Illumina sequencing data, classify samples with pangolin and nextclade, and generate a quality control report."
"#workflow/github.com/iwc-workflows/parallel-accession-download/main",main,https://raw.githubusercontent.com/iwc-workflows/parallel-accession-download/main//parallel-accession-download.ga,3e9aee6218674651a981b3437b9ca8ec294ff492984b153db0526989e716e674,false,3629,39,9.56E-4,end_turn,"Downloads fastq files for sequencing run accessions provided in a text file using fasterq-dump, creating one job per listed run accession."
"#workflow/github.com/nf-core/rnaseq",1.4.2,https://raw.githubusercontent.com/nf-core/rnaseq/1.4.2//main.nf,0d0db0adf13e907e33e44b1357486cf57747ad78c3a5e31f187919d844530fe9,false,24811,32,0.00624275,end_turn,"Trim the raw reads, align them to the reference genome, perform quality control analysis, and quantify gene expression."
"#workflow/github.com/nf-core/vipr",master,https://raw.githubusercontent.com/nf-core/vipr/master//main.nf,a8b50e8afa5730e6ede16e4588cec2f03c3ae881385daed22edb3e8376af5793,false,4734,78,0.001281,end_turn,"Execute the ViPR workflow, which performs viral amplicon/enrichment analysis and intrahost variant calling, starting with trimming and combining read pairs, followed by decontamination, metagenomics classification, assembly, polishing, mapping, variant calling, coverage computation, and finally plotting and preparing the final reference sequence."
